"primary card id","chinese name","pokedex id","field type","規格標記","chinese text","jp text","eng text"
"cmo1u7o6b1qny5uee4fjpzt5k","吉雉雞ex","1016","ability","H","在上個對手的回合，若自己的寶可夢【昏厥】了，則在自己的回合時可使用1次。從自己的牌庫抽出3張卡。在這個回合，若已經使出了其他的「扭轉乾坤」，則這個特性無法使用。","前の相手の番に、自分のポケモンがきぜつしていたなら、自分の番に1回使える。自分の山札を3枚引く。この番、すでに別の「さかてにとる」を使っていたなら、この特性は使えない。","Once during your turn, if any of your Pokémon were Knocked Out during your opponent’s last turn, you may draw 3 cards. You can’t use more than 1 Flip the Script Ability each turn. | This attack does 100 damage to 1 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)"
"cmobmw3wn1pux2pc7suycirrn","貓鼬探長","0735","ability","I","在自己的回合時可使用1次。選擇1張自己的手牌，與牌庫上方的卡互換。","自分の番に1回使える。自分の手札を1枚選び、山札の上のカードと入れ替える。","Once during your turn, you may use this Ability. Switch a card from your hand with the top card of your deck."
"cmp2dgb70382x116cnb69i8ha","古玉魚","","attack","I","將場上的對手的競技場卡丟棄。有丟棄的情況下，在下個對手的回合，對手無法從手牌使出競技場卡。","場に出ている相手のスタジアムをトラッシュする。トラッシュした場合、次の相手の番、相手は手札からスタジアムを出せない。","If your opponent has a Stadium in play, discard it. If you do, your opponent can’t play any Stadium cards from their hand during their next turn."
"cmo1u7tvr20d95ueef46tpa0z","伊布","0133","attack","E","從自己的牌庫選擇最多3張「寶可夢【V】」卡，在給對手看過後加入手牌。並且重洗牌庫。","自分の山札から「ポケモンV」を3枚まで選び、相手に見せて、手札に加える。そして山札を切る。",""
"cmp2dg0802ske116ccxad31m6","伊布","","attack","H","從自己的牌庫選擇1張從這隻寶可夢進化而來的卡，放置於這隻寶可夢身上完成進化。並且重洗牌庫。 | 擲1次硬幣若為正面，則增加20點傷害。","このポケモンから進化するカードを、自分の山札から1枚選び、このポケモンにのせて進化させる。そして山札を切る。 | コインを1回投げオモテなら、20ダメージ追加。","Flip a coin. If heads, this attack does 20 more damage."
"cmo1u8b052u5x5ueevh0g5ter","吼鯨王","0321","attack","D","每次從自己的手牌將能量附於這隻寶可夢身上時，都將這隻寶可夢的特殊狀態全部恢復。 | 增加這隻寶可夢身上附加的【水】能量的數量×40點傷害。","このポケモンについているエネルギーの数×40ダメージ追加。","This attack does 40 more damage for each {W} Energy attached to this Pokémon."
"cmo1u7p391s8l5uee3ubn1byx","信使鳥","0225","attack","J","雙方玩家若希望，各自從自己的手牌選擇最多3張基本能量卡，以任意方式附於自己的寶可夢身上。（對手先選擇。）","おたがいのプレイヤーは、のぞむなら、それぞれ自分の手札から基本エネルギーを3枚まで選び、自分のポケモンに好きなようにつける。（相手から行う。）",""
"cmo1u7w2y246e5ueer5h08u5p","洛托姆","0479","attack","G","從自己的棄牌區選擇1張物品卡，在給對手看過後加入手牌。 | 擲1次硬幣若為正面，則將對手的戰鬥寶可夢【麻痺】。","自分のトラッシュからグッズを1枚選び、相手に見せて、手札に加える。 | コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。","Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
"cmo1u6wuj0fvp5ueeasostfca","小仙奶","0868","attack","D","選擇自己的1隻寶可夢，恢復「20」HP。","自分のポケモンを1匹選び、HPを「20」回復する。","Heal 20 damage from 1 of your Pokémon."
"cmo1u6t7z09jo5ueedqfm3byo","小小象","0231","attack","D","造成這隻寶可夢身上放置的傷害指示物的數量×30點傷害。","このポケモンにのっているダメカンの数×30ダメージ。","This attack does 30 damage for each damage counter on this Pokémon."
"cmo1u7p5k1sch5ueeix8t453i","坦克臭鼬","0435","attack","J","將這隻寶可夢與備戰寶可夢互換。","このポケモンをベンチポケモンと入れ替える。",""
"cmobmw3zd1pz72pc79aqnouml","巨蔓藤","0465","attack","I","將這隻寶可夢恢復「30」HP。 | 若身上附有的能量比使用這個招式所需的能量多2個，則增加140點傷害。","このポケモンのHPを「30」回復する。 | このワザを使うためのエネルギーより、2個多くエネルギーがついているなら、140ダメージ追加。","Heal 30 damage from this Pokémon. | If this Pokémon has at least 2 extra Energy attached (in addition to this attack’s cost), this attack does 140 more damage."
"cmp2dfym32qbt116czu82kce0","月亮伊布","","attack","G","對手的1隻寶可夢受到50點傷害。這個招式的傷害不計算弱點・抵抗力與受到傷害的寶可夢身上的附加效果。 | 在下個自己的回合，這隻寶可夢無法使用招式。","相手のポケモン1匹に、50ダメージ。このワザのダメージは、弱点・抵抗力と、ダメージを受けるポケモンにかかっている効果を計算しない。 | 次の自分の番、このポケモンはワザが使えない。","This attack does 50 damage to 1 of your opponent’s Pokémon. This attack’s damage isn’t affected by Weakness or Resistance, or by any effects on that Pokémon. | During your next turn, this Pokémon can’t attack."
"cmobmw49o1qg12pc786pg1w9k","青銅鐘","0437","attack","I","從自己的牌庫抽出3張卡。 | 造成雙方的所有寶可夢身上附加的「寶可夢道具」卡的數量×40點傷害。","自分の山札を3枚引く。 | おたがいのポケモン全員についている「ポケモンのどうぐ」の数×40ダメージ。","Draw 3 cards. | This attack does 40 damage for each Pokémon Tool attached to all Pokémon."
"cmp5nvdsi0wueoelbiqy1q19q","超級甲賀忍蛙ex","","ability","J","若這隻寶可夢在戰鬥場，且在自己的回合，從自己的手牌將1張「基本【水】能量」卡丟棄，則可使用1次。在對手的1隻寶可夢身上放置6個傷害指示物。","このポケモンがバトル場にいて、自分の番に、自分の手札から「基本エネルギー」を1枚トラッシュするなら、1回使える。相手のポケモン1匹に、ダメカンを6個のせる。",""
"cmobmw6ve1ul22pc7v2hok711","雷吉斯奇魯ex","0379","attack","J","從自己的棄牌區選擇最多2張「基本【鋼】能量」卡，附於這隻寶可夢身上。 | 在下個對手的回合，這隻寶可夢受到招式的傷害「-50」點。","自分のトラッシュから「基本エネルギー」を2枚まで選び、このポケモンにつける。 | 次の相手の番、このポケモンが受けるワザのダメージは「-50」される。",""
"cmp2dgb65381s116c41dydpb4","奇魯莉安","","attack","I","從自己的牌庫選擇最多3張寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。","自分の山札からポケモンを3枚まで選び、相手に見せて、手札に加える。そして山札を切る。","Search your deck for up to 3 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck."
"cmp2dgbcq38ak116c2al31wjp","小木靈","","ability","J","在自己的回合時可使用1次。從自己的手牌選擇1張從這隻寶可夢進化而來的卡，放置於這隻寶可夢身上完成進化。然後，在完成進化的寶可夢身上放置2個傷害指示物。（無法在自己的最初回合使用。）","",""
"cmobmw4911qf02pc79q7yoa0n","超級巨牙鯊ex","0319","attack","I","從自己的牌庫抽出2張卡。 | 若這隻寶可夢身上放置有傷害指示物，則增加150點傷害。","自分の山札を2枚引く。 | このポケモンにダメカンがのっているなら、150ダメージ追加。","Draw 2 cards. | If this Pokémon has any damage counters on it, this attack does 150 more damage."
"cmp2dgbcg38a7116cdrzssac2","呱呱泡蛙","","attack","J","從自己的牌庫抽出1張卡。","自分の山札を1枚引く。",""
"cmp2dgbcw38as116chdyheb91","妖火紅狐","","ability","J","在自己的回合，若從自己的手牌將1張「基本【火】能量」卡丟棄，則可使用1次。從牌庫抽卡直到自己的手牌滿7張為止。","",""
"cmp2dfxxe2pd1116c50bk241a","蟲甲聖","","attack","G","從自己的棄牌區選擇1張寶可夢卡，放置於備戰區。 | 將對手的戰鬥寶可夢【混亂】。","自分のトラッシュからポケモンを1枚選び、ベンチに出す。 | 相手のバトルポケモンをこんらんにする。","Put a Pokémon from your discard pile onto your Bench. | Your opponent’s Active Pokémon is now Confused."
"cmp2dgbcj38ab116chyrnlz8q","呱頭蛙","","attack","J","從自己的牌庫選擇最多3張寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。","自分の山札からポケモンを3枚まで選び、相手に見せて、手札に加える。そして山札を切る。",""
"cmp47cbgw0wus1150sk6kfxyr","電龍","","ability","J","若自己的手牌與對手的手牌張數相同，則這隻寶可夢使用的招式，對對手的戰鬥寶可夢造成的傷害「+80」點。","自分の手札と相手の手札が同じ枚数なら、このポケモンが使うワザの、相手のバトルポケモンへのダメージは「+80」される。",""
"cmp2dfx9y2oh1116cypwlmxwr","顫弦蠑螈","","attack","G","在不看正面的情況下，從對手的手牌選擇2張，查看那些卡的正面後放回對手的牌庫並重洗。 | 這隻寶可夢也受到20點傷害。","相手の手札からオモテを見ないで2枚選び、そのカードのオモテを見て、相手の山札にもどして切る。 | このポケモンにも20ダメージ。","This Pokémon also does 20 damage to itself."
"cmp2dgf223d6e116cltcig8my","吉利蛋","","attack","H","從自己的手牌選擇1張基本能量卡，附於自己的寶可夢身上。 | 在下個自己的回合，這隻寶可夢無法使用招式。","","During your next turn, this Pokémon can’t attack."
"cmo1u6wvo0fxp5ueedfnoh838","龍王蠍V","0452","attack","D","將這隻寶可夢身上附加的2個能量丟棄，將對手的戰鬥寶可夢【中毒】與【麻痺】。 | 寶可夢【V】【氣絕】時，對手獲得2張獎賞卡。","このポケモンについているエネルギーを2個トラッシュし、相手のバトルポケモンをどくとマヒにする。",""
"cmobmw46q1qb72pc7ci8gr5ld","萊希拉姆","0643","attack","I","這隻寶可夢也受到60點傷害。","このポケモンにも60ダメージ。","This Pokémon also does 60 damage to itself."
"cmp2dfzm62rpv116c372y8m24","鐵頭殼ex","","ability","H","只要這隻寶可夢在場上，自己的「未來」寶可夢（「鐵頭殼【ex】」除外）使用的招式，對對手的戰鬥寶可夢造成的傷害「+20」點。","このポケモンがいるかぎり、自分の「未来」のポケモン（「テツノカシラex」をのぞく）が使うワザの、相手のバトルポケモンへのダメージは「+20」される。","Attacks used by your Future Pokémon, except any Iron Crown {ex}, do 20 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance). | This attack does 50 damage to 2 of your opponent’s Pokémon. This attack’s damage isn’t affected by Weakness or Resistance, or by any effects on those Pokémon."
"cmo1u6t8809k45ueepvq2kkrl","混混鱷","0552","attack","D","將對手的牌庫上方3張卡丟棄。","相手の山札を上から3枚トラッシュする。","Discard the top 3 cards of your opponent’s deck."
"cmo1u7z2h29cv5ueek2sk01m3","瑪狃拉","0461","ability","G","在自己的回合，從備戰區將這隻寶可夢放置於戰鬥場時，可使用1次。選擇1隻對手的備戰區的【基礎】寶可夢，與戰鬥寶可夢互換。","自分の番に、このポケモンがベンチからバトル場に出たとき、1回使える。相手のベンチのたねポケモンを1匹選び、バトルポケモンと入れ替える。","Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may switch in 1 of your opponent’s Benched Basic Pokémon to the Active Spot."
"cmo1u7nh91pgz5ueeehc7kr4j","超級路卡利歐ex","0448","attack","I","從自己的棄牌區選擇最多3張「基本【鬥】能量」卡，以任意方式附於備戰寶可夢身上。 | 在下個自己的回合，這隻寶可夢無法使用「超級勇氣」。","自分のトラッシュから「基本エネルギー」を3枚まで選び、ベンチポケモンに好きなようにつける。 | 次の自分の番、このポケモンは「メガブレイブ」が使えない。","Attach up to 3 Basic {F} Energy cards from your discard pile to your Benched Pokémon in any way you like. | During your next turn, this Pokémon can’t use Mega Brave."
