"primary card id","trainer chinese name","subtype","規格標記","chinese text","jp text","eng text"
"cmoa5ym2q3n4sdt6l6n1s77ll","完全體攪拌器","ITEM","H","從自己的牌庫任意選擇最多5張卡，將其丟棄。並且重洗牌庫。","","Search your deck for up to 5 cards and discard them. Then, shuffle your deck."
"cmo1u7j3k1hym5ueerdco3tfa","石之洞窟","STADIUM","I","雙方的所有「大吾的寶可夢」受到對手的寶可夢招式的傷害「-30」點。","おたがいの「ダイゴのポケモン」全員が、相手のポケモンから受けるワザのダメージは「-30」される。","Steven’s Pokémon (both yours and your opponent’s) take 30 less damage from attacks from the opponent’s Pokémon (after applying Weakness and Resistance)."
"cmo1u7p6w1seq5ueevta1denk","豐收漁網","ITEM","J","從自己的棄牌區選擇【水】寶可夢卡與「基本【水】能量」卡最多各3張，在給對手看過後放回牌庫並重洗。","自分のトラッシュからポケモンと「基本エネルギー」をそれぞれ3枚まで選び、相手に見せて、山札にもどして切る。",""
"cmo1u6rb4068j5ueeqayzqfb6","火箭隊的驚嚇炸彈","ITEM","I","擲1次硬幣若為正面，則在對手的1隻寶可夢身上放置2個傷害指示物。若為反面，則在自己的戰鬥寶可夢身上放置2個傷害指示物。","コインを1回投げオモテなら、相手のポケモン1匹に、ダメカンを2個のせる。ウラなら、自分のバトルポケモンに、ダメカンを2個のせる。","Flip a coin. If heads, put 2 damage counters on 1 of your opponent’s Pokémon. If tails, put 2 damage counters on your Active Pokémon."
"cmo1u6q0e03z45ueeg62w52nb","英雄斗篷","TOOL","H","附有這張卡的寶可夢的最大HP「+100」。","このカードをつけているポケモンの最大HPは「＋100」される。","The Pokémon this card is attached to gets +100 HP."
"cmo1u6vbd0d735ueelxz35w4o","潮漩之扇","ITEM","E","選擇1個對手的場上寶可夢身上附加的特殊能量，放回對手的牌庫下方。","相手の場のポケモンについている特殊エネルギーを1個選び、相手の山札の下にもどす。",""
"cmo1u6yxe0jes5ueeoutt2c2c","花月","SUPPORTER","E","查看對手的手牌，從其中選擇最多2張「寶可夢道具」「競技場」「特殊能量」卡，將其丟棄。","相手の手札を見て、その中から「ポケモンのどうぐ」「スタジアム」「特殊エネルギー」を2枚まで選び、トラッシュする。",""
"cmo1u6q1z041x5ueewn7ym8w1","奇跡修正檔","ITEM","I","從自己的棄牌區選擇1張「基本【超】能量」卡，附於備戰區的【超】寶可夢身上。","自分のトラッシュから「基本エネルギー」を1枚選び、ベンチのポケモンにつける。","Attach a Basic {P} Energy card from your discard pile to 1 of your Benched {P} Pokémon."
"cmo1u6pwn03sn5ueeu9kohtgi","衝浪手","SUPPORTER","H","將自己的戰鬥寶可夢與備戰寶可夢互換。然後，從牌庫抽卡直到自己的手牌滿5張為止。","自分のバトルポケモンをベンチポケモンと入れ替える。その後、自分の手札が5枚になるように、山札を引く。","Switch your Active Pokémon with 1 of your Benched Pokémon. If you do, draw cards until you have 5 cards in your hand."
"cmo1u6q0s03zs5uee3q33is6n","老大的指令（魁奇思）","SUPPORTER","G","選擇1隻對手的備戰寶可夢，與戰鬥寶可夢互換。","相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。","Switch in 1 of your opponent’s Benched Pokémon to the Active Spot."
"cmo1u79uj127l5ueednem6igh","辛俐","SUPPORTER","G","查看自己的牌庫上方4張卡，從其中選擇2張卡加入手牌。將剩餘卡全部翻回反面並重洗，放回牌庫下方。","自分の山札を上から4枚見て、その中からカードを2枚選び、手札に加える。残りのカードはすべてウラにして切り、山札の下にもどす。",""
"cmo1u6pky038f5ueebp7tvadn","龐克頭盔","TOOL","I","附有這張卡的【惡】寶可夢在戰鬥場受到對手的寶可夢招式的傷害時，在使用招式的寶可夢身上放置4個傷害指示物。","このカードをつけているポケモンが、バトル場で相手のポケモンからワザのダメージを受けたとき、ワザを使ったポケモンにダメカンを4個のせる。","If the {D} Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), place 4 damage counters on the Attacking Pokémon."
"cmo1u79l811rm5ueeo0v018hw","妮莫","SUPPORTER","G","雙方玩家各將自己的手牌全部翻回反面並重洗，放回牌庫下方。然後，各從牌庫抽出與自己剩餘獎賞卡的張數相同數量的卡。","©Pokémon. ©Nintendo/Creatures Inc./GAME FREAK inc.ポケットモンスター・ポケモン・Pokémonは任天堂・クリーチャーズ・ゲームフリークの登録商標です。このホームページに掲載された画像その他の内容の無断転載はお断りします。",""
"cmo1u6o1z00nb5ueeiuaft3pz","神奇糖果","ITEM","I","從自己的手牌選擇1張【2階進化】寶可夢卡，放置於自己的場上的可進化成那隻寶可夢的【基礎】寶可夢身上，跳過【1階進化】完成進化。（無法對自己的最初回合與這個回合剛使出的寶可夢使用。）","自分の手札から2進化ポケモンを1枚選び、そのポケモンへと進化する自分の場のたねポケモンにのせ、1進化をとばして進化させる。（最初の自分の番と、この番出したばかりのポケモンには使えない。）","Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can’t use this card during your first turn or on a Basic Pokémon that was put into play this turn."
"cmo1u6oso01vv5uees3m7nzgg","好傷藥","ITEM","I","將自己的1隻寶可夢恢復「60」HP。然後，選擇1個恢復的寶可夢身上附加的能量，將其丟棄。","自分のポケモンを1匹選び、HPを「60」回復する。回復した場合、そのポケモンについているエネルギーを1個選び、トラッシュする。","Heal 60 damage from 1 of your Pokémon. If you healed any damage in this way, discard an Energy from that Pokémon."
"cmo1u6pxm03ub5ueecs3740wa","零之大空洞","STADIUM","H","自己的場上有「太晶」寶可夢的玩家的可放置於備戰區的寶可夢數量改為8隻。    （這張卡被丟棄時，或‌自己的場上沒有了「太晶」寶可夢時，將備戰區的寶可夢丟棄直到變為5隻為止。若雙方都要丟棄，則這張卡的持有人先丟棄。）","自分の場に「テラスタル」のポケモンがいるプレイヤーが、ベンチに出せるポケモンの数は8匹になる。（このカードがトラッシュされたときか、自分の場に「テラスタル」のポケモンがいなくなったとき、ベンチが5匹になるまでトラッシュする。おたがいにトラッシュするなら、このカードの持ち主から行う。）","Each player who has any Tera Pokémon in play can have up to 8 Pokémon on their Bench.  If a player no longer has any Tera Pokémon in play, that player discards Pokémon from their Bench until they have 5. When this card leaves play, both players discard Pokémon from their Bench until they have 5, and the player who played this card discards first."
"cmo1u80qn2c8d5ueeb6zzu4a4","招式學習器 ‌衰退","TOOL","G","附有這張卡的寶可夢，可使用這張卡上寫的招式。[需要有足夠使用招式的能量。] 將附於寶可夢身上的這張卡，在自己的回合結束時丟棄。","相手の進化しているポケモン全員の上から、それぞれ「進化カード」を1枚ずつはがして退化させる。はがしたカードは、相手の手札にもどす。",""
"cmo1u6pv703q25ueehf3gkivq","N的ＰＰ提升劑","ITEM","I","從自己的棄牌區選擇1張基本能量卡，附於備戰區的「N的寶可夢」身上。","自分のトラッシュから基本エネルギーを1枚選び、ベンチの「Nのポケモン」につける。","Attach a Basic Energy card from your discard pile to 1 of your Benched N’s Pokémon."
"cmo1u6yfb0ik65ueeg5fcu8ew","菊子","SUPPORTER","E","選擇最多3個自己的戰鬥寶可夢身上放置的傷害指示物，改放於對手的戰鬥寶可夢身上。","自分のバトルポケモンにのっているダメカンを3個まで選び、相手のバトルポケモンにのせ替える。",""
"cmo1u6o1u00n35ueen3uaeqoq","粉碎之錘","ITEM","J","擲1次硬幣若為正面，則選擇1個對手的場上寶可夢身上附加的能量，將其丟棄。","コインを1回投げオモテなら、相手の場のポケモンについているエネルギーを1個選び、トラッシュする。","Flip a coin. If heads, discard an Energy from 1 of your opponent’s Pokémon."
"cmo1u6p5w02ij5ueef701kx73","戰鬥鑼","ITEM","I","從自己的牌庫選擇1張【鬥】屬性的【基礎】寶可夢卡或者「基本【鬥】能量」卡，在給對手看過後加入手牌。並且重洗牌庫。","自分の山札からタイプのたねポケモンまたは「基本エネルギー」を1枚選び、相手に見せて、手札に加える。そして山札を切る。","Search your deck for a Basic {F} Energy card or a Basic {F} Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
"cmo1u6o2800nn5ueewhqoq0wy","寶可夢交替","ITEM","I","將自己的戰鬥寶可夢與備戰寶可夢互換。","自分のバトルポケモンをベンチポケモンと入れ替える。",""
"cmo1u8k3q39xj5uees3zrjcqa","萬靈藥","ITEM","D","將自己的戰鬥寶可夢的特殊狀態全部恢復。","",""
